,Price,Link,Notes
SEEED Studio XIAO ESP32-C3,4.99€,https://www.seeedstudio.com/Seeed-XIAO-ESP32C3-p-5431.html,I have headers available so I will solder them myself but if you don't you should look into pre-soldered. Shipping is calculated with buying all Seeed components on one order and is displayed below
SEEED studio ePaper driver board,4.99€,https://www.seeedstudio.com/ePaper-breakout-Board-for-XIAO-V2-p-6374.html,Shipping is calculated with buying all Seeed components on one order and is displayed below.
"SEEED studio 7.5"" monochrome e-ink display",30.99€,https://www.seeedstudio.com/7-5-Monochrome-ePaper-Display-with-800x480-Pixels-p-5788.html,Shipping is calculated with buying all Seeed components on one order and is displayed below.
"Heat set inserts M2,5 100pcs",0.88€,https://www.aliexpress.com/item/1005006838108683.html?spm=a2g0o.productlist.main.4.1a244CqV4CqVnV&aem_p4p_detail=2026040709481118270560359904760000294152&algo_pvid=09c63ec6-a5c4-490f-b016-4a70db189a22&algo_exp_id=09c63ec6-a5c4-490f-b016-4a70db189a22-3&pdp_ext_f=%7B%22order%22%3A%228643%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%213.95%210.88%21%21%2130.61%216.82%21%402103834817755804919052706ea73e%2112000038467725083%21sea%21FI%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2599385b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197850338&curPageLogUid=GGTl9fJBIg9O&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006838108683%7C_p_origin_prod%3A&search_p4p_id=2026040709481118270560359904760000294152_1,Only 4pcs needed but I couldn't find smaller packages
M2.5 x 5mm screws. 50pcs,0.88€,https://www.aliexpress.com/item/1005011821173994.html?spm=a2g0o.productlist.main.1.39d529a0qjtHul&algo_pvid=bd92e47b-3820-45da-b4b0-a0d232d1f28c&algo_exp_id=bd92e47b-3820-45da-b4b0-a0d232d1f28c-0&pdp_ext_f=%7B%22order%22%3A%22198%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.71%210.88%21%21%2113.24%216.79%21%402103846917755805715604071e08bf%2112000056711510764%21sea%21FI%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2599385b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197850338&curPageLogUid=PxbGNUoUDbsP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011821173994%7C_p_origin_prod%3A,Only 4pcs needed but I couldn't find smaller packages
,,,
TOTAL inc. shipping,57.92€,,
,,,
NOTE!,,,
Shipping for the Seeed products will be 15.19€ all together inc. duties.,,,
Both aliexpress products have free shipping.,,,
